sha,date,kind,message,files,n_lines,reverts_cleanly,development_set
95b4c866,2021-12-23,cpp,Fix the sign for NED climb rate (#545),src/initialization/FGInitialCondition.h,4,True,False
01da4616,2021-12-17,cpp,Added error handling in FGWaypoint in case a supplied or calculated latitude exceeds 90 degrees prior (#536),src/models/flight_control/FGWaypoint.cpp,22,False,False
ddd025ae,2021-10-24,cpp,"Fixed a sign error in the computation of ""aero/h_b-mac-ft"" (#508)",src/models/FGAuxiliary.cpp,4,False,False
bc62d30c,2021-07-17,cpp,Tentative fix for the issue #485.,src/models/flight_control/FGLinearActuator.cpp,27,True,False
8819410c,2020-12-12,model,Fix negative drag due to elevator deflection (#358),aircraft/737/737.xml;aircraft/A4/A4.xml;aircraft/B17/B17.xml;aircraft/B747/B747.xml;aircraft/C130/C130.xml;aircraft/DHC6/DHC6.xml;aircraft/F4N/F4N-jsbsim.xml;aircraft/F4N/F4N.xml;aircraft/F80C/F80C.xml;aircraft/L17/L17.xml;aircraft/L410/L410.xml;aircraft/MD11/MD11.xml;aircraft/OV10/OV10.xml;aircraft/SGS/SGS.xml;aircraft/T37/T37.xml;aircraft/T38/T38.xml;aircraft/XB-70/XB-70.xml;aircraft/f15/f15.xml;aircraft/f22/yf22.xml;aircraft/fokker50/fokker50.xml;aircraft/minisgs/minisgs.xml;aircraft/p51d/p51d.xml;aircraft/pogo-jsbsim/pogo-jsbsim.xml;aircraft/sgs126/sgs126.xml;aircraft/sgs233/sgs233.xml,102,True,True
4595a186,2020-12-06,cpp,Fixed FGMagnetometer which updated the magnetic field every time step.,src/models/flight_control/FGMagnetometer.cpp;src/models/flight_control/FGMagnetometer.h,16,True,False
5e738cdf,2020-08-05,cpp,Fix one off error in array iteration (#311),src/models/flight_control/FGFilter.cpp,4,False,False
ead61d5e,2019-11-30,cpp,Fixed the bind() method for aFunc<>.,src/math/FGFunction.cpp;src/math/FGFunction.h,54,False,False
113e4a9e,2019-11-16,cpp,Fixed the bug reported in issue #235.,src/models/FGMassBalance.h,8,True,False
06b6c2fc,2019-11-10,cpp,Fixed the bug reported in the GitHub issue #230.,src/models/FGMassBalance.cpp;src/models/FGMassBalance.h,28,False,False
0d61e022,2019-09-21,cpp,Fix the bug reported in GH issue #211,src/models/flight_control/FGFCSComponent.cpp,20,False,False
