aircraft,manoeuvre,setting,fault,recall,precision,auc,base_score
737,elev_doublet,sig_K3,cmq_x0.5,0.0,,0.4700854700854701,0.43110842645726366
737,elev_doublet,sig_K3,cmalpha_x0.7,0.0,0.0,0.4700854700854701,0.43110842645726366
737,elev_doublet,sig_K3,clo_+0.1,0.3076923076923077,0.8,0.6752136752136753,0.43110842645726366
737,elev_doublet,sig_K5,inertia_x1.6,0.09090909090909091,1.0,,0.5146481425551191
737,elev_doublet,sig_K5,cmq_x0.5,0.07692307692307693,1.0,0.6239316239316239,0.5146481425551191
737,elev_doublet,sig_K5,cmalpha_x0.7,0.07692307692307693,0.5,0.5982905982905983,0.5146481425551191
737,elev_doublet,sig_K5,clo_+0.1,0.46153846153846156,0.8571428571428571,0.7521367521367521,0.5146481425551191
737,elev_doublet,sig_K7,inertia_x1.6,0.09090909090909091,1.0,,0.6082527937179101
737,elev_doublet,sig_K7,cmq_x0.5,0.0,,0.45299145299145294,0.6082527937179101
737,elev_doublet,sig_K7,cmalpha_x0.7,0.07692307692307693,0.5,0.5042735042735043,0.6082527937179101
737,elev_doublet,sig_K7,clo_+0.1,0.3076923076923077,0.6666666666666666,0.6068376068376069,0.6082527937179101
737,elev_doublet,sig_leaf50,inertia_x1.6,0.0,,,0.5151842343702808
737,elev_doublet,sig_leaf50,cmq_x0.5,0.07692307692307693,1.0,0.5641025641025641,0.5151842343702808
737,elev_doublet,sig_leaf50,cmalpha_x0.7,0.0,0.0,0.6153846153846153,0.5151842343702808
737,elev_doublet,sig_leaf50,clo_+0.1,0.3076923076923077,0.8,0.6153846153846154,0.5151842343702808
737,elev_doublet,sig_n10,inertia_x1.6,0.13636363636363635,1.0,,0.5943219571126547
737,elev_doublet,sig_n10,cmq_x0.5,0.07692307692307693,0.3333333333333333,0.6581196581196581,0.5943219571126547
737,elev_doublet,sig_n10,cmalpha_x0.7,0.15384615384615385,0.5,0.7008547008547008,0.5943219571126547
737,elev_doublet,sig_n10,clo_+0.1,0.0,,0.7008547008547008,0.5943219571126547
737,elev_doublet,sig_lags_1,inertia_x1.6,0.0,,,0.5227499244941105
737,elev_doublet,sig_lags_1,cmq_x0.5,0.07692307692307693,1.0,0.6837606837606838,0.5227499244941105
737,elev_doublet,sig_lags_1,cmalpha_x0.7,0.0,0.0,0.6324786324786325,0.5227499244941105
737,elev_doublet,sig_lags_1,clo_+0.1,0.3076923076923077,0.8,0.5726495726495727,0.5227499244941105
737,elev_doublet,sig_lags_long,inertia_x1.6,0.045454545454545456,1.0,,0.5170718816067653
737,elev_doublet,sig_lags_long,cmq_x0.5,0.07692307692307693,1.0,0.5470085470085471,0.5170718816067653
737,elev_doublet,sig_lags_long,cmalpha_x0.7,0.07692307692307693,0.5,0.5641025641025641,0.5170718816067653
737,elev_doublet,sig_lags_long,clo_+0.1,0.46153846153846156,0.8571428571428571,0.735042735042735,0.5170718816067653
737,elev_doublet,sig_equal_width,inertia_x1.6,0.09090909090909091,1.0,,0.33484596798550287
737,elev_doublet,sig_equal_width,cmq_x0.5,0.0,,0.49572649572649574,0.33484596798550287
737,elev_doublet,sig_equal_width,cmalpha_x0.7,0.0,,0.5042735042735043,0.33484596798550287
737,elev_doublet,sig_equal_width,clo_+0.1,0.6153846153846154,0.6666666666666666,0.6581196581196581,0.33484596798550287
737,elev_doublet,sig_5hz,inertia_x1.6,0.045454545454545456,1.0,,0.5143889223359421
737,elev_doublet,sig_5hz,cmq_x0.5,0.07692307692307693,1.0,0.5982905982905983,0.5143889223359421
737,elev_doublet,sig_5hz,cmalpha_x0.7,0.07692307692307693,0.5,0.5811965811965812,0.5143889223359421
737,elev_doublet,sig_5hz,clo_+0.1,0.46153846153846156,0.8571428571428571,0.7435897435897436,0.5143889223359421
737,elev_doublet,sig_2hz,inertia_x1.6,0.045454545454545456,1.0,,0.5141207153502235
737,elev_doublet,sig_2hz,cmq_x0.5,0.07692307692307693,1.0,0.688034188034188,0.5141207153502235
737,elev_doublet,sig_2hz,cmalpha_x0.7,0.0,,0.594017094017094,0.5141207153502235
737,elev_doublet,sig_2hz,clo_+0.1,0.3076923076923077,0.8,0.5897435897435898,0.5141207153502235
737,elev_step,det_n10,inertia_x1.6,0.45454545454545453,1.0,,9.430681230411206
737,elev_step,det_n10,cmq_x0.5,0.46153846153846156,0.5,0.5555555555555556,9.430681230411206
737,elev_step,det_n10,cmalpha_x0.7,0.5384615384615384,0.5384615384615384,0.35897435897435903,9.430681230411206
737,elev_step,det_n10,clo_+0.1,0.8461538461538461,0.55,0.4786324786324786,9.430681230411206
737,elev_step,det_n20,inertia_x1.6,0.2727272727272727,1.0,,4.215386456892019
737,elev_step,det_n20,cmq_x0.5,0.5384615384615384,0.7,0.7606837606837606,4.215386456892019
737,elev_step,det_n20,cmalpha_x0.7,0.6153846153846154,0.6153846153846154,0.6324786324786325,4.215386456892019
737,elev_step,det_n20,clo_+0.1,0.8461538461538461,0.7857142857142857,1.0,4.215386456892019
737,elev_step,det_n5,inertia_x1.6,0.5454545454545454,1.0,,14.618446243720753
737,elev_step,det_n5,cmq_x0.5,0.46153846153846156,0.5454545454545454,0.5897435897435898,14.618446243720753
737,elev_step,det_n5,cmalpha_x0.7,0.7692307692307693,0.5882352941176471,0.5470085470085471,14.618446243720753
737,elev_step,det_n5,clo_+0.1,1.0,0.5909090909090909,0.49572649572649574,14.618446243720753
737,elev_step,det_lags_1,inertia_x1.6,0.2727272727272727,1.0,,4.135067712385513
737,elev_step,det_lags_1,cmq_x0.5,0.5384615384615384,0.7,0.8461538461538461,4.135067712385513
737,elev_step,det_lags_1,cmalpha_x0.7,0.6153846153846154,0.6153846153846154,0.717948717948718,4.135067712385513
737,elev_step,det_lags_1,clo_+0.1,0.8461538461538461,0.7857142857142857,1.0,4.135067712385513
