aircraft,manoeuvre,method,fault,n_outputs,n_oracle,recall_at3,recall_at5,ap,inspect_before_first,top_is_affected,n_flagged,any_correct_flag,reduction
B747,elev_step,regression,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.9340727146157011,1,True,19,True,0.13636363636363635
B747,elev_step,regression,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8906636350075264,1,True,16,True,0.2727272727272727
B747,elev_step,regression,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,9,True,0.5909090909090908
B747,elev_step,sig_dynamic,clo_+0.1,22,13,0.15384615384615385,0.3076923076923077,0.6726062336356454,1,True,10,True,0.5454545454545454
B747,elev_step,sig_dynamic,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7748140017876861,1,True,8,True,0.6363636363636364
B747,elev_step,sig_dynamic,cmq_x0.5,22,13,0.23076923076923078,0.3076923076923077,0.7993036877652262,1,True,0,False,1.0
B747,elev_step,sig_dynamic,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,5,True,0.7727272727272727
B747,elev_step,sig_static,clo_+0.1,22,13,0.0,0.15384615384615385,0.5815233911387757,4,False,13,True,0.40909090909090906
B747,elev_step,sig_static,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.7918478758678807,1,True,7,True,0.6818181818181819
B747,elev_step,sig_static,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8390954075164602,1,True,3,True,0.8636363636363636
B747,elev_step,sig_static,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,3,True,0.8636363636363636
B747,engine_cut,envelope,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.695270604868128,1,True,13,True,0.40909090909090906
B747,engine_cut,envelope,cmalpha_x0.7,22,13,0.23076923076923078,0.38461538461538464,0.8915502044461321,1,True,4,True,0.8181818181818181
B747,engine_cut,envelope,cmq_x0.5,22,13,0.23076923076923078,0.38461538461538464,0.8985641495256881,1,True,6,True,0.7272727272727273
B747,engine_cut,envelope,inertia_x1.6,22,22,0.13636363636363635,0.22727272727272727,1.0,1,True,4,True,0.8181818181818181
B747,engine_cut,iforest,clo_+0.1,22,13,0.23076923076923078,0.3076923076923077,0.7653827507334294,1,True,22,True,0.0
B747,engine_cut,iforest,cmalpha_x0.7,22,13,0.07692307692307693,0.23076923076923078,0.68532178605708,2,False,19,True,0.13636363636363635
B747,engine_cut,iforest,cmq_x0.5,22,13,0.15384615384615385,0.15384615384615385,0.6417092073468592,1,True,0,False,1.0
