aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,gated_cat,gated_auc,false_alarm
J3Cub,climbing_turn,clo_+0.1,13,0.594,2.47,3.0,0.54/0.54,0.80/1.00,0.6,0.00/0.00,1.00/0.50,0.0,
J3Cub,climbing_turn,noop,2,0.594,,,,,,,,,0.09
J3Cub,elev_doublet_distractor,cmq_x0.5,3,0.629,0.63,0.0,0.15/0.67,0.40/1.00,0.26,-,,,
J3Cub,elev_doublet_distractor,cmalpha_x0.7,11,0.629,0.34,0.0,0.62/0.73,0.80/1.00,0.72,-,,,
J3Cub,elev_doublet_distractor,clo_+0.1,7,0.629,1.88,3.0,0.23/0.43,0.40/1.00,0.42,0.00/0.00,0.33/0.50,0.09,
J3Cub,elev_doublet_distractor,noop,4,0.629,,,,,,,,,0.18
J3Cub,engine_stop,cmq_x0.5,5,0.706,2.37,6.0,0.15/0.40,0.40/1.00,0.71,0.33/0.40,0.67/1.00,0.31,
J3Cub,engine_stop,cmalpha_x0.7,10,0.706,2.06,0.0,0.31/0.40,0.80/1.00,0.5,-,,,
J3Cub,engine_stop,clo_+0.1,8,0.706,14.61,3.0,0.54/0.88,0.80/1.00,0.74,0.00/0.00,0.67/0.50,0.09,
J3Cub,engine_stop,noop,0,0.706,,,,,,,,,0.0
Short_S23,cruise,inertia_x1.6,0,0.607,0.44,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,cruise,noop,0,0.607,,,,,,,,,0.0
Short_S23,throttle_step,inertia_x1.6,1,0.572,0.5,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,throttle_step,noop,1,0.572,,,,,,,,,0.05
Short_S23,elev_doublet,inertia_x1.6,1,0.626,0.38,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,elev_doublet,noop,0,0.626,,,,,,,,,0.0
Short_S23,elev_step,inertia_x1.6,3,0.645,0.73,0.0,0.14/1.00,0.40/1.00,,-,,,
Short_S23,elev_step,noop,0,0.645,,,,,,,,,0.0
Short_S23,aileron_step,inertia_x1.6,0,0.601,0.7,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,aileron_step,noop,2,0.601,,,,,,,,,0.09
Short_S23,rudder_doublet,inertia_x1.6,0,0.688,0.61,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,rudder_doublet,noop,0,0.688,,,,,,,,,0.0
Short_S23,bank_hold,inertia_x1.6,4,0.576,1.15,1.0,0.18/1.00,0.60/1.00,,0.00/0.00,1.00/0.33,0.52,
Short_S23,bank_hold,noop,4,0.576,,,,,,,,,0.18
Short_S23,flap_extend,inertia_x1.6,0,0.699,1.74,1.0,0.00/0.00,0.00/0.00,,0.00/0.00,0.00/0.00,0.71,
Short_S23,flap_extend,noop,0,0.699,,,,,,,,,0.0
Short_S23,engine_cut,inertia_x1.6,0,0.661,0.59,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,engine_cut,noop,2,0.661,,,,,,,,,0.09
Short_S23,climbing_turn,inertia_x1.6,0,0.554,0.32,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,climbing_turn,noop,0,0.554,,,,,,,,,0.0
Short_S23,elev_doublet_distractor,inertia_x1.6,3,0.641,0.5,0.0,0.14/1.00,0.40/1.00,,-,,,
Short_S23,elev_doublet_distractor,noop,2,0.641,,,,,,,,,0.09
Short_S23,engine_stop,inertia_x1.6,4,0.738,0.6,0.0,0.18/1.00,0.40/1.00,,-,,,
Short_S23,engine_stop,noop,0,0.738,,,,,,,,,0.0
c172p,cruise,inertia_x1.6,5,0.594,186.46,13.0,0.23/1.00,0.40/1.00,,0.38/1.00,0.50/1.00,0.65,
c172p,cruise,cmq_x0.5,3,0.594,3.02,5.0,0.08/0.33,0.40/1.00,0.34,0.20/0.33,0.50/0.50,0.64,
c172p,cruise,cmalpha_x0.7,7,0.594,8.06,5.0,0.08/0.14,0.60/1.00,0.13,0.20/0.14,1.00/0.67,0.35,
