aircraft,manoeuvre,config,base_vsd,thr,inertia_x1.6,cmq_x0.5,cmalpha_x0.7,clo_+0.1,noop_fa,noop
787-8,engine_cut,lags+since,0.213,0.069,0.00/0.00 cat 0.00 auc nan,0.23/1.00 cat 0.40 auc 0.50,0.54/0.88 cat 0.80 auc 0.72,0.46/0.60 cat 0.60 auc 0.63,0.0,
787-8,engine_cut,since,0.258,0.068,0.00/0.00 cat 0.00 auc nan,0.23/1.00 cat 0.40 auc 0.46,0.46/0.86 cat 0.80 auc 0.61,0.38/0.56 cat 0.60 auc 0.66,0.05,
787-8,climbing_turn,static,0.348,0.058,0.00/0.00 cat 0.00 auc nan,0.46/1.00 cat 0.60 auc 0.74,0.92/0.86 cat 1.00 auc 0.91,0.62/0.50 cat 0.80 auc 0.45,0.0,
787-8,climbing_turn,lags,0.262,0.059,0.00/0.00 cat 0.00 auc nan,0.38/1.00 cat 0.40 auc 0.64,0.77/0.77 cat 0.60 auc 0.87,0.69/0.53 cat 0.80 auc 0.56,0.0,
787-8,climbing_turn,lags+since,0.225,0.052,0.09/1.00 cat 0.20 auc nan,0.38/1.00 cat 0.40 auc 0.87,0.92/0.75 cat 0.80 auc 0.92,0.62/0.57 cat 0.60 auc 0.63,0.09,
787-8,climbing_turn,since,0.252,0.051,0.14/1.00 cat 0.20 auc nan,0.54/0.78 cat 0.80 auc 0.83,0.85/0.79 cat 1.00 auc 0.95,0.54/0.54 cat 0.80 auc 0.62,0.18,
787-8,elev_doublet_distractor,static,0.571,0.128,0.05/1.00 cat 0.20 auc nan,0.00/0.00 cat 0.00 auc 0.33,0.15/0.40 cat 0.40 auc 0.41,0.15/0.67 cat 0.40 auc 0.47,0.0,
787-8,elev_doublet_distractor,lags,0.486,0.129,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.26,0.15/0.22 cat 0.80 auc 0.34,0.08/0.25 cat 0.60 auc 0.42,0.0,
787-8,elev_doublet_distractor,lags+since,0.462,0.128,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.38,0.23/1.00 cat 0.60 auc 0.70,0.08/0.25 cat 0.80 auc 0.53,0.0,
787-8,elev_doublet_distractor,since,0.516,0.13,0.00/0.00 cat 0.00 auc nan,0.00/0.00 cat 0.00 auc 0.37,0.15/0.40 cat 0.60 auc 0.55,0.08/0.33 cat 0.60 auc 0.55,0.0,
787-8,engine_restart,static,0.371,0.038,0.09/1.00 cat 0.20 auc nan,0.38/0.83 cat 0.60 auc 0.86,0.54/0.88 cat 0.80 auc 0.94,0.38/0.56 cat 0.60 auc 0.68,0.05,
787-8,engine_restart,lags,0.18,0.044,0.09/1.00 cat 0.40 auc nan,0.38/0.83 cat 0.60 auc 0.75,0.77/0.77 cat 0.80 auc 0.93,0.54/0.54 cat 0.80 auc 0.77,0.05,
787-8,engine_restart,lags+since,0.135,0.048,0.18/1.00 cat 0.40 auc nan,0.46/0.75 cat 0.60 auc 0.87,0.85/0.92 cat 0.80 auc 0.83,0.62/0.57 cat 0.80 auc 0.83,0.09,
787-8,engine_restart,since,0.18,0.036,0.05/1.00 cat 0.20 auc nan,0.46/0.86 cat 0.60 auc 0.95,0.77/1.00 cat 0.80 auc 0.93,0.62/0.73 cat 0.60 auc 0.85,0.05,
A320,cruise,static,0.522,0.039,0.14/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.00 auc 0.62,0.54/0.78 cat 0.80 auc 0.79,0.23/0.50 cat 0.40 auc 0.59,0.0,
A320,cruise,lags,0.518,0.032,0.14/1.00 cat 0.40 auc nan,0.08/1.00 cat 0.20 auc 0.66,0.54/0.88 cat 0.80 auc 0.77,0.23/0.50 cat 0.40 auc 0.63,0.0,
A320,cruise,lags+since,0.523,0.027,0.14/1.00 cat 0.40 auc nan,0.08/1.00 cat 0.20 auc 0.64,0.69/0.90 cat 0.80 auc 0.82,0.23/0.50 cat 0.40 auc 0.62,0.0,
A320,cruise,since,0.523,0.05,0.14/1.00 cat 0.40 auc nan,0.00/0.00 cat 0.00 auc 0.62,0.54/0.78 cat 0.80 auc 0.77,0.23/0.50 cat 0.40 auc 0.59,0.0,
A320,throttle_step,static,0.406,0.046,0.05/1.00 cat 0.20 auc nan,0.08/1.00 cat 0.20 auc 0.65,0.38/1.00 cat 0.60 auc 0.77,0.23/1.00 cat 0.40 auc 0.62,0.05,
A320,throttle_step,lags,0.306,0.042,0.14/1.00 cat 0.40 auc nan,0.23/1.00 cat 0.40 auc 0.56,0.46/1.00 cat 0.60 auc 0.68,0.38/0.83 cat 0.60 auc 0.56,0.14,
A320,throttle_step,lags+since,0.182,0.039,0.09/1.00 cat 0.40 auc nan,0.08/1.00 cat 0.20 auc 0.49,0.54/0.88 cat 0.80 auc 0.59,0.77/0.83 cat 0.80 auc 0.74,0.05,
