aircraft,manoeuvre,method,fault,recall,precision,cat_recall,cat_precision,auc,n_flagged,flagged,n_gated,gated_recall,gated_precision,gated_auc,false_alarm
737,throttle_step,regression,clo_+0.1,0.8461538461538461,0.55,0.8,1.0,0.717948717948718,20.0,attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.15,1.0,
737,throttle_step,regression,noop,,,,,,,,,,,,0.0
737,throttle_step,iforest,inertia_x1.6,0.0,,0.0,,,0.0,,0.0,,,,
737,throttle_step,iforest,cmq_x0.5,0.0,,0.0,,0.5641025641025642,0.0,,2.0,0.0,,0.125,
737,throttle_step,iforest,cmalpha_x0.7,0.0,,0.0,,0.5042735042735043,0.0,,0.0,,,,
737,throttle_step,iforest,clo_+0.1,1.0,0.5909090909090909,1.0,1.0,0.2820512820512821,22.0,position/h-sl-ft;position/h-agl-ft;attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.13636363636363635,0.6140350877192982,
737,throttle_step,iforest,noop,,,,,,,,,,,,0.0
737,elev_doublet,sig_static,inertia_x1.6,0.0,,0.0,,,0.0,,1.0,0.0,,0.09523809523809523,
737,elev_doublet,sig_static,cmq_x0.5,0.0,,0.0,,0.6666666666666667,0.0,,0.0,,,,
737,elev_doublet,sig_static,cmalpha_x0.7,0.07692307692307693,1.0,0.2,1.0,0.6837606837606838,1.0,accelerations/wdot-ft_sec2,0.0,,,,
737,elev_doublet,sig_static,clo_+0.1,0.3076923076923077,0.6666666666666666,0.6,1.0,0.7094017094017094,6.0,attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/vc-kts;velocities/vt-fps;accelerations/wdot-ft_sec2,3.0,0.3333333333333333,0.16666666666666666,0.2631578947368421,
737,elev_doublet,sig_static,noop,,,,,,,,,,,,0.0
737,elev_doublet,sig_dynamic,inertia_x1.6,0.09090909090909091,1.0,0.4,1.0,,2.0,attitude/psi-rad;accelerations/wdot-ft_sec2,1.0,0.0,0.0,0.47619047619047616,
737,elev_doublet,sig_dynamic,cmq_x0.5,0.07692307692307693,1.0,0.2,1.0,0.6239316239316239,1.0,accelerations/wdot-ft_sec2,0.0,,,,
737,elev_doublet,sig_dynamic,cmalpha_x0.7,0.07692307692307693,0.5,0.4,1.0,0.5982905982905983,2.0,attitude/psi-rad;accelerations/wdot-ft_sec2,0.0,,,,
737,elev_doublet,sig_dynamic,clo_+0.1,0.46153846153846156,0.8571428571428571,0.8,1.0,0.7521367521367521,7.0,attitude/phi-rad;velocities/u-fps;velocities/w-fps;velocities/vc-kts;velocities/vt-fps;accelerations/wdot-ft_sec2;aero/alpha-deg,3.0,0.6666666666666666,0.2857142857142857,0.5964912280701754,
737,elev_doublet,sig_dynamic,noop,,,,,,,,,,,,0.0
737,elev_doublet,envelope,inertia_x1.6,0.2727272727272727,1.0,0.4,1.0,,6.0,velocities/p-rad_sec;velocities/q-rad_sec;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,1.0,1.0,0.16666666666666666,0.9523809523809524,
737,elev_doublet,envelope,cmq_x0.5,0.23076923076923078,1.0,0.4,1.0,0.5299145299145299,3.0,velocities/q-rad_sec;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,elev_doublet,envelope,cmalpha_x0.7,0.07692307692307693,0.5,0.4,1.0,0.5641025641025641,2.0,velocities/q-rad_sec;accelerations/vdot-ft_sec2,0.0,,,,
737,elev_doublet,envelope,clo_+0.1,0.38461538461538464,0.5555555555555556,0.8,1.0,0.46153846153846156,9.0,attitude/theta-rad;velocities/v-fps;velocities/w-fps;velocities/r-rad_sec;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.3333333333333333,1.0,
737,elev_doublet,envelope,noop,,,,,,,,,,,,0.0
737,elev_doublet,ks,inertia_x1.6,0.045454545454545456,1.0,0.2,1.0,,1.0,attitude/psi-rad,1.0,0.0,0.0,0.33333333333333337,
737,elev_doublet,ks,cmq_x0.5,0.07692307692307693,1.0,0.2,1.0,0.358974358974359,1.0,velocities/q-rad_sec,0.0,,,,
737,elev_doublet,ks,cmalpha_x0.7,0.23076923076923078,0.75,0.6,1.0,0.5299145299145299,4.0,attitude/psi-rad;velocities/q-rad_sec;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2,0.0,,,,
737,elev_doublet,ks,clo_+0.1,0.23076923076923078,0.6,0.6,1.0,0.5299145299145299,5.0,attitude/theta-rad;velocities/v-fps;velocities/w-fps;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.6,1.0,
737,elev_doublet,ks,noop,,,,,,,,,,,,0.0
737,elev_doublet,regression,inertia_x1.6,0.36363636363636365,1.0,0.8,1.0,,8.0,attitude/psi-rad;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,1.0,1.0,0.125,1.0,
737,elev_doublet,regression,cmq_x0.5,0.46153846153846156,0.75,0.8,1.0,0.5555555555555556,8.0,attitude/psi-rad;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,0.0,,,,
737,elev_doublet,regression,cmalpha_x0.7,0.38461538461538464,0.625,0.8,1.0,0.5384615384615385,8.0,attitude/psi-rad;velocities/w-fps;velocities/p-rad_sec;velocities/r-rad_sec;velocities/h-dot-fps;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,0.0,,,,
737,elev_doublet,regression,clo_+0.1,0.7692307692307693,0.7142857142857143,0.8,1.0,0.5641025641025641,14.0,attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/v-fps;velocities/w-fps;velocities/q-rad_sec;velocities/vc-kts;velocities/vt-fps;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.21428571428571427,0.6491228070175439,
737,elev_doublet,regression,noop,,,,,,,,,,,,0.0
737,elev_doublet,iforest,inertia_x1.6,0.0,,0.0,,,0.0,,1.0,0.0,,0.47619047619047616,
737,elev_doublet,iforest,cmq_x0.5,0.0,,0.0,,0.6068376068376068,0.0,,0.0,,,,
737,elev_doublet,iforest,cmalpha_x0.7,0.0,,0.0,,0.6239316239316239,0.0,,0.0,,,,
737,elev_doublet,iforest,clo_+0.1,1.0,0.6190476190476191,1.0,1.0,0.7435897435897436,21.0,position/h-sl-ft;position/h-agl-ft;attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,3.0,1.0,0.14285714285714285,1.0,
737,elev_doublet,iforest,noop,,,,,,,,,,,,0.0
737,elev_step,sig_static,inertia_x1.6,0.18181818181818182,1.0,0.6,1.0,,4.0,velocities/w-fps;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,1.0,0.0,0.0,0.8095238095238095,
737,elev_step,sig_static,cmq_x0.5,0.23076923076923078,1.0,0.4,1.0,0.5982905982905983,3.0,accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,0.0,,,,
737,elev_step,sig_static,cmalpha_x0.7,0.3076923076923077,0.8,0.6,1.0,0.6923076923076923,5.0,velocities/q-rad_sec;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/udot-ft_sec2;aero/alpha-deg,3.0,0.3333333333333333,0.2,0.5789473684210527,
737,elev_step,sig_static,clo_+0.1,0.6923076923076923,0.5625,0.6,1.0,0.5042735042735043,16.0,attitude/phi-rad;attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2,4.0,0.5,0.125,0.4305555555555556,
737,elev_step,sig_static,noop,,,,,,,,,,,,0.13636363636363635
737,elev_step,sig_dynamic,inertia_x1.6,0.2727272727272727,1.0,0.4,1.0,,6.0,velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,1.0,0.0,0.0,0.7142857142857143,
737,elev_step,sig_dynamic,cmq_x0.5,0.38461538461538464,0.8333333333333334,0.4,1.0,0.7435897435897436,6.0,velocities/w-fps;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vt-fps;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,elev_step,sig_dynamic,cmalpha_x0.7,0.6153846153846154,0.6666666666666666,0.6,1.0,0.9059829059829061,12.0,attitude/theta-rad;attitude/psi-rad;velocities/u-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vt-fps;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/wdot-ft_sec2,3.0,1.0,0.25,0.5614035087719298,
737,elev_step,sig_dynamic,clo_+0.1,0.6153846153846154,0.6153846153846154,0.8,1.0,0.6153846153846154,13.0,attitude/phi-rad;attitude/theta-rad;velocities/u-fps;velocities/v-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/vc-kts;velocities/vt-fps;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2;aero/beta-deg,4.0,0.25,0.07692307692307693,0.25,
737,elev_step,sig_dynamic,noop,,,,,,,,,,,,0.2727272727272727
737,elev_step,envelope,inertia_x1.6,0.045454545454545456,1.0,0.2,1.0,,1.0,accelerations/wdot-ft_sec2,1.0,0.0,0.0,0.9047619047619048,
737,elev_step,envelope,cmq_x0.5,0.3076923076923077,1.0,0.4,1.0,0.6666666666666667,4.0,velocities/q-rad_sec;velocities/h-dot-fps;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2,0.0,,,,
737,elev_step,envelope,cmalpha_x0.7,0.07692307692307693,1.0,0.2,1.0,0.5726495726495726,1.0,accelerations/wdot-ft_sec2,3.0,0.0,0.0,0.5263157894736843,
737,elev_step,envelope,clo_+0.1,0.3076923076923077,0.6666666666666666,0.8,1.0,0.45299145299145294,6.0,attitude/theta-rad;velocities/v-fps;velocities/w-fps;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,4.0,0.75,0.5,0.875,
737,elev_step,envelope,noop,,,,,,,,,,,,0.0
737,elev_step,ks,inertia_x1.6,0.0,,0.0,,,0.0,,1.0,0.0,,0.5238095238095238,
737,elev_step,ks,cmq_x0.5,0.0,,0.0,,0.6495726495726496,0.0,,0.0,,,,
737,elev_step,ks,cmalpha_x0.7,0.0,0.0,0.2,1.0,0.3247863247863248,1.0,velocities/r-rad_sec,3.0,0.0,0.0,0.5087719298245614,
737,elev_step,ks,clo_+0.1,0.3076923076923077,0.5714285714285714,0.8,1.0,0.46153846153846156,7.0,attitude/theta-rad;velocities/v-fps;velocities/w-fps;velocities/r-rad_sec;accelerations/wdot-ft_sec2;aero/alpha-deg;aero/beta-deg,4.0,0.75,0.42857142857142855,0.763888888888889,
737,elev_step,ks,noop,,,,,,,,,,,,0.0
737,elev_step,regression,inertia_x1.6,0.2727272727272727,1.0,0.6,1.0,,6.0,velocities/w-fps;velocities/q-rad_sec;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,1.0,1.0,0.16666666666666666,0.9047619047619048,
737,elev_step,regression,cmq_x0.5,0.5384615384615384,0.7,0.8,1.0,0.7606837606837606,10.0,attitude/theta-rad;velocities/q-rad_sec;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,0.0,,,,
737,elev_step,regression,cmalpha_x0.7,0.6153846153846154,0.6153846153846154,0.8,1.0,0.6324786324786325,13.0,attitude/theta-rad;velocities/w-fps;velocities/p-rad_sec;velocities/q-rad_sec;velocities/r-rad_sec;velocities/h-dot-fps;accelerations/pdot-rad_sec2;accelerations/qdot-rad_sec2;accelerations/rdot-rad_sec2;accelerations/udot-ft_sec2;accelerations/vdot-ft_sec2;accelerations/wdot-ft_sec2;aero/alpha-deg,3.0,1.0,0.23076923076923078,1.0,
