aircraft,manoeuvre,fault,explainer,n_flagged,agreement,agreement_null_median,n_explained,correctness,correctness_largest_movement,correctness_only_changing,correctness_residual_importance,stability,n_with_trim_shift
787-8,elev_doublet_distractor,inertia_x1.6,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
787-8,elev_doublet_distractor,cmq_x0.5,dynamic,4,0.0,0.25,4,0.75,0.75,0.75,1.0,0.325,0
787-8,elev_doublet_distractor,cmq_x0.5,static,4,0.25,0.25,4,0.75,0.75,0.75,,,0
787-8,elev_doublet_distractor,cmalpha_x0.7,dynamic,5,0.2,0.8,5,0.8,0.8,0.8,1.0,0.4800000000000001,5
787-8,elev_doublet_distractor,cmalpha_x0.7,static,5,0.2,0.8,5,0.8,0.8,0.8,,,5
787-8,elev_doublet_distractor,clo_+0.1,dynamic,11,0.18181818181818182,0.45454545454545453,11,0.36363636363636365,0.9090909090909091,0.9090909090909091,0.7272727272727273,0.6545454545454544,11
787-8,elev_doublet_distractor,clo_+0.1,static,11,0.2727272727272727,0.36363636363636365,11,0.45454545454545453,0.9090909090909091,0.9090909090909091,,,11
787-8,engine_restart,inertia_x1.6,dynamic,1,0.0,1.0,1,0.0,1.0,1.0,0.0,0.4,0
787-8,engine_restart,inertia_x1.6,static,1,0.0,0.0,1,0.0,1.0,1.0,,,0
787-8,engine_restart,cmq_x0.5,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.9,0
787-8,engine_restart,cmq_x0.5,static,1,0.0,1.0,1,1.0,1.0,1.0,,,0
787-8,engine_restart,cmalpha_x0.7,dynamic,2,1.0,1.0,2,1.0,1.0,1.0,0.5,0.25,2
787-8,engine_restart,cmalpha_x0.7,static,2,1.0,1.0,2,0.5,1.0,1.0,,,2
787-8,engine_restart,clo_+0.1,dynamic,7,0.14285714285714285,0.42857142857142855,7,1.0,1.0,1.0,0.8571428571428571,0.8142857142857143,7
787-8,engine_restart,clo_+0.1,static,7,0.0,0.2857142857142857,7,0.5714285714285714,1.0,1.0,,,7
A320,throttle_step,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,0.0,1.0,0
A320,throttle_step,inertia_x1.6,static,1,0.0,0.0,1,1.0,1.0,1.0,,,0
A320,throttle_step,cmq_x0.5,dynamic,4,0.0,0.5,4,1.0,1.0,1.0,0.5,1.0,0
A320,throttle_step,cmq_x0.5,static,4,0.0,0.75,4,1.0,1.0,1.0,,,0
A320,throttle_step,cmalpha_x0.7,dynamic,4,0.5,0.75,4,1.0,1.0,1.0,0.75,1.0,0
A320,throttle_step,cmalpha_x0.7,static,4,0.0,0.75,4,1.0,1.0,1.0,,,0
A320,throttle_step,clo_+0.1,dynamic,9,0.3333333333333333,0.4444444444444444,9,0.8888888888888888,1.0,1.0,0.8888888888888888,0.8888888888888888,9
A320,throttle_step,clo_+0.1,static,9,0.0,0.4444444444444444,9,1.0,1.0,1.0,,,9
A320,elev_doublet,inertia_x1.6,dynamic,5,0.0,0.4,5,1.0,1.0,1.0,0.8,0.5599999999999999,0
A320,elev_doublet,inertia_x1.6,static,5,0.0,0.0,5,1.0,1.0,1.0,,,0
A320,elev_doublet,cmq_x0.5,dynamic,3,0.0,0.3333333333333333,3,1.0,1.0,1.0,0.6666666666666666,0.43333333333333335,0
A320,elev_doublet,cmq_x0.5,static,3,0.0,0.3333333333333333,3,1.0,1.0,1.0,,,0
A320,elev_doublet,cmalpha_x0.7,dynamic,3,0.0,0.6666666666666666,3,1.0,1.0,1.0,1.0,0.43333333333333335,0
A320,elev_doublet,cmalpha_x0.7,static,3,0.0,0.3333333333333333,3,1.0,1.0,1.0,,,0
A320,elev_doublet,clo_+0.1,dynamic,8,0.125,0.5,8,1.0,1.0,1.0,0.875,0.5625,8
A320,elev_doublet,clo_+0.1,static,8,0.0,0.5,8,1.0,1.0,1.0,,,8
A320,elev_step,inertia_x1.6,dynamic,1,0.0,1.0,1,1.0,1.0,1.0,1.0,0.8,0
