fault,aircraft,test_case,changed_exec_lines,executed,max_count,reach
B2_atmosphere_high_altitude_61f1e8c3,787-8,elev_doublet,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,elev_doublet,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,elev_doublet,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,elev_doublet,3,3,8287,True
B_pqrdot_5ad2694c,787-8,elev_step,5,1,7731,True
B_piston_power_bcd3f980,787-8,elev_step,3,0,0,False
B_turbine_windmill_2db8e408,787-8,elev_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,elev_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,elev_step,1,1,25486,True
B2_wheel_spin_down_8a9fba1c,787-8,elev_step,4,4,54117,True
B2_sensor_fail_stuck_f543d634,787-8,elev_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,elev_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,elev_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,elev_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,elev_step,3,3,15487,True
B_pqrdot_5ad2694c,787-8,aileron_step,5,1,4131,True
B_piston_power_bcd3f980,787-8,aileron_step,3,0,0,False
B_turbine_windmill_2db8e408,787-8,aileron_step,2,2,2,True
B2_turbine_throttle_init_c8af9244,787-8,aileron_step,1,1,2,True
B2_turbine_thruster_inputs_20066483,787-8,aileron_step,1,1,18284,True
B2_wheel_spin_down_8a9fba1c,787-8,aileron_step,4,4,28917,True
B2_sensor_fail_stuck_f543d634,787-8,aileron_step,3,0,0,False
B2_atmosphere_high_altitude_61f1e8c3,787-8,aileron_step,5,0,0,False
B2_load_factor_sign_c3fa7d22,787-8,aileron_step,1,1,1,True
B2_propeller_inflow_angle_82cc3893,787-8,aileron_step,1,0,0,False
B2_atmosphere_gradient_fadeout_05b709c8,787-8,aileron_step,3,3,8287,True
B_pqrdot_5ad2694c,787-8,rudder_doublet,5,1,4131,True
B_piston_power_bcd3f980,787-8,rudder_doublet,3,0,0,False
B_turbine_windmill_2db8e408,787-8,rudder_doublet,2,2,2,True
