aircraft,manoeuvre,fault,n_flag,base_vsd,es_max,n_gated,phys_R/P,phys_cat,phys_auc,gated_R/P,false_alarm,gated_cat,gated_auc
J3Cub,elev_doublet_distractor,noop,2,0.763,,,,,,,0.09,,
J3Cub,engine_stop,cmq_x0.5,2,0.782,0.55,0.0,0.00/0.00,0.40/1.00,0.21,-,,,
J3Cub,engine_stop,cmalpha_x0.7,0,0.782,0.79,0.0,0.00/0.00,0.00/0.00,0.27,-,,,
J3Cub,engine_stop,clo_+0.1,3,0.782,1.15,1.0,0.23/1.00,0.20/1.00,0.44,0.00/0.00,,0.00/0.00,0.0
J3Cub,engine_stop,noop,2,0.782,,,,,,,0.09,,
Short_S23,cruise,inertia_x1.6,3,0.752,0.3,0.0,0.14/1.00,0.40/1.00,,-,,,
Short_S23,cruise,noop,2,0.752,,,,,,,0.09,,
Short_S23,throttle_step,inertia_x1.6,1,0.741,0.37,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,throttle_step,noop,0,0.741,,,,,,,0.0,,
Short_S23,elev_doublet,inertia_x1.6,1,0.773,0.33,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,elev_doublet,noop,0,0.773,,,,,,,0.0,,
Short_S23,elev_step,inertia_x1.6,0,0.78,0.8,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,elev_step,noop,0,0.78,,,,,,,0.0,,
Short_S23,aileron_step,inertia_x1.6,0,0.764,0.43,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,aileron_step,noop,0,0.764,,,,,,,0.0,,
Short_S23,rudder_doublet,inertia_x1.6,0,0.795,0.39,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,rudder_doublet,noop,0,0.795,,,,,,,0.0,,
Short_S23,bank_hold,inertia_x1.6,0,0.771,0.28,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,bank_hold,noop,0,0.771,,,,,,,0.0,,
Short_S23,flap_extend,inertia_x1.6,0,0.776,0.22,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,flap_extend,noop,0,0.776,,,,,,,0.0,,
Short_S23,engine_cut,inertia_x1.6,0,0.758,0.36,0.0,0.00/0.00,0.00/0.00,,-,,,
Short_S23,engine_cut,noop,1,0.758,,,,,,,0.05,,
Short_S23,climbing_turn,inertia_x1.6,1,0.718,0.3,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,climbing_turn,noop,1,0.718,,,,,,,0.05,,
Short_S23,elev_doublet_distractor,inertia_x1.6,4,0.757,0.42,0.0,0.18/1.00,0.60/1.00,,-,,,
Short_S23,elev_doublet_distractor,noop,3,0.757,,,,,,,0.14,,
Short_S23,engine_stop,inertia_x1.6,1,0.768,0.36,0.0,0.05/1.00,0.20/1.00,,-,,,
Short_S23,engine_stop,noop,1,0.768,,,,,,,0.05,,
c172p,cruise,inertia_x1.6,1,0.774,0.99,0.0,0.05/1.00,0.20/1.00,,-,,,
c172p,cruise,cmq_x0.5,2,0.774,0.2,0.0,0.08/0.50,0.40/1.00,0.52,-,,,
c172p,cruise,cmalpha_x0.7,1,0.774,0.68,0.0,0.00/0.00,0.20/1.00,0.61,-,,,
c172p,cruise,clo_+0.1,2,0.774,1.84,1.0,0.15/1.00,0.40/1.00,0.62,0.00/0.00,,0.00/0.00,0.0
c172p,cruise,noop,2,0.774,,,,,,,0.09,,
c172p,throttle_step,inertia_x1.6,4,0.763,1.01,1.0,0.18/1.00,0.60/1.00,,1.00/0.25,,1.00/0.33,1.0
c172p,throttle_step,cmq_x0.5,2,0.763,0.23,0.0,0.00/0.00,0.40/1.00,0.0,-,,,
c172p,throttle_step,cmalpha_x0.7,0,0.763,0.79,0.0,0.00/0.00,0.00/0.00,0.24,-,,,
c172p,throttle_step,clo_+0.1,4,0.763,1.98,1.0,0.23/0.75,0.40/1.00,0.44,0.00/0.00,,0.00/0.00,0.0
c172p,throttle_step,noop,2,0.763,,,,,,,0.09,,
c172p,elev_doublet,inertia_x1.6,0,0.798,1.1,1.0,0.00/0.00,0.00/0.00,,0.00/0.00,,0.00/0.00,0.33
c172p,elev_doublet,cmq_x0.5,0,0.798,0.21,0.0,0.00/0.00,0.00/0.00,0.37,-,,,
c172p,elev_doublet,cmalpha_x0.7,0,0.798,0.56,0.0,0.00/0.00,0.00/0.00,0.28,-,,,
c172p,elev_doublet,clo_+0.1,1,0.798,1.82,1.0,0.08/1.00,0.20/1.00,0.41,0.00/0.00,,0.00/0.00,0.0
c172p,elev_doublet,noop,0,0.798,,,,,,,0.0,,
c172p,elev_step,inertia_x1.6,2,0.759,0.92,0.0,0.09/1.00,0.40/1.00,,-,,,
c172p,elev_step,cmq_x0.5,0,0.759,0.39,0.0,0.00/0.00,0.00/0.00,0.73,-,,,
c172p,elev_step,cmalpha_x0.7,1,0.759,0.65,0.0,0.00/0.00,0.20/1.00,0.56,-,,,
c172p,elev_step,clo_+0.1,3,0.759,1.74,5.0,0.23/1.00,0.20/1.00,0.32,0.20/0.33,,0.25/1.00,0.4
c172p,elev_step,noop,0,0.759,,,,,,,0.0,,
