fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,engine_restart,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,2.0,0.0173965206958608
B_pqrdot_5ad2694c,development,cpp,787-8,cruise,10,10,0,False,True,7.501039125882613e-05,accelerations/rdot-rad_sec2,6.590625020412474e-05,False,0.0,0.0,0.1251749650069986
B_turbine_windmill_2db8e408,development,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_turbine_throttle_init_c8af9244,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_turbine_thruster_inputs_20066483,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_wheel_spin_down_8a9fba1c,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_sensor_fail_stuck_f543d634,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_load_factor_sign_c3fa7d22,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_propeller_inflow_angle_82cc3893,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,787-8,cruise,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1251749650069986
B_pqrdot_5ad2694c,development,cpp,787-8,throttle_step,10,10,0,False,True,0.0001206078388921,accelerations/rdot-rad_sec2,0.000110123930205,False,0.0,0.0,0.172365526894621
B_turbine_windmill_2db8e408,development,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_turbine_throttle_init_c8af9244,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_turbine_thruster_inputs_20066483,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_wheel_spin_down_8a9fba1c,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_sensor_fail_stuck_f543d634,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
B2_load_factor_sign_c3fa7d22,heldout,cpp,787-8,throttle_step,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.172365526894621
