aircraft,manoeuvre,variant,es_max,n_gated,n_flagged,n_cand,phys_recall,phys_precision,phys_cat_recall,phys_auc,gated_recall,gated_precision,gated_auc,agree_dynamic,correct_dynamic,agree_static,correct_static,gated_cat_recall
A320,rudder_doublet,B_pqrdot_5ad2694c,5.1310555110854224e-05,0,8,10,0.36363636363636365,1.0,0.8,,,,,0.25,1.0,0.25,1.0,
A320,rudder_doublet,B_turbine_windmill_2db8e408,0.0,0,8,10,0.46153846153846156,0.75,0.8,0.5811965811965812,,,,0.25,1.0,0.25,1.0,
A320,bank_hold,B_pqrdot_5ad2694c,0.00019084524828474498,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A320,bank_hold,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.35897435897435903,,,,0.0,1.0,0.0,1.0,
A320,flap_extend,B_pqrdot_5ad2694c,3.185535556488245e-05,0,3,10,0.13636363636363635,1.0,0.4,,,,,0.0,1.0,0.0,1.0,
A320,flap_extend,B_turbine_windmill_2db8e408,0.0,0,3,10,0.23076923076923078,1.0,0.4,0.47008547008547014,,,,0.0,1.0,0.0,1.0,
A320,engine_cut,B_pqrdot_5ad2694c,2.797408206714506e-05,0,2,10,0.09090909090909091,1.0,0.4,,,,,0.0,0.0,0.0,0.0,
A320,engine_cut,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.4,0.717948717948718,,,,0.0,0.0,0.0,0.0,
A320,climbing_turn,B_pqrdot_5ad2694c,0.0002065815904265424,0,2,10,0.09090909090909091,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A320,climbing_turn,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.2,0.6752136752136753,,,,0.0,1.0,0.0,1.0,
A320,elev_doublet_distractor,B_pqrdot_5ad2694c,5.036103973913182e-05,0,2,10,0.09090909090909091,1.0,0.4,,,,,0.0,0.0,0.5,0.0,
A320,elev_doublet_distractor,B_turbine_windmill_2db8e408,0.0,0,2,10,0.15384615384615385,1.0,0.4,0.641025641025641,,,,0.0,0.0,0.5,0.0,
A320,engine_restart,B_pqrdot_5ad2694c,2.777023843197036e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,0.0,0.0,0.0,
A320,engine_restart,B_turbine_windmill_2db8e408,2.2455038484905727,3,9,10,0.5384615384615384,0.7777777777777778,0.8,0.7606837606837608,1.0,0.3333333333333333,1.0,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.1111111111111111,1.0
A4,cruise,B_elevator_drag_8819410c,0.5228343832993013,0,8,10,0.23076923076923078,0.375,0.8,0.4786324786324786,,,,0.5,,0.75,,
A4,cruise,B_pqrdot_5ad2694c,5.301877191639123e-05,0,9,10,0.4090909090909091,1.0,0.8,,,,,0.3333333333333333,,0.4444444444444444,,
A4,cruise,B_turbine_windmill_2db8e408,0.0,0,9,10,0.3076923076923077,0.4444444444444444,0.8,0.4786324786324786,,,,0.3333333333333333,,0.4444444444444444,,
A4,throttle_step,B_elevator_drag_8819410c,0.46311309609498624,0,1,10,0.0,0.0,0.2,0.7777777777777778,,,,0.0,1.0,0.0,1.0,
A4,throttle_step,B_pqrdot_5ad2694c,4.3115437451560005e-05,0,1,10,0.045454545454545456,1.0,0.2,,,,,0.0,1.0,0.0,1.0,
A4,throttle_step,B_turbine_windmill_2db8e408,0.0,0,1,10,0.07692307692307693,1.0,0.2,0.7606837606837608,,,,0.0,1.0,0.0,1.0,
A4,elev_doublet,B_elevator_drag_8819410c,0.7097213243501538,0,0,10,0.0,,0.0,0.5128205128205129,,,,,,,,
A4,elev_doublet,B_pqrdot_5ad2694c,3.0235495679892078e-05,0,0,10,0.0,,0.0,,,,,,,,,
A4,elev_doublet,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.49572649572649574,,,,,,,,
A4,elev_step,B_elevator_drag_8819410c,0.31489836182202124,0,1,10,0.07692307692307693,1.0,0.2,0.6495726495726497,,,,0.0,1.0,0.0,1.0,
A4,elev_step,B_pqrdot_5ad2694c,4.1280663772616805e-05,0,0,10,0.0,,0.0,,,,,,,,,
A4,elev_step,B_turbine_windmill_2db8e408,0.0,0,0,10,0.0,,0.0,0.6581196581196582,,,,,,,,
A4,aileron_step,B_elevator_drag_8819410c,0.41866830617120115,0,0,10,0.0,,0.0,0.5470085470085471,,,,,,,,
A4,aileron_step,B_pqrdot_5ad2694c,6.433201280644229e-05,0,0,10,0.0,,0.0,,,,,,,,,
