fault,set,kind,aircraft,test_case,n_matched,n_cand,n_missing,structural,propagated,es1_max,es1_output,es_max,observable,n_observable_outputs,n_flag_05,min_p,n_correct_flags,n_flags,n_flags_on_changed,reach,revealed,revealed_any_change,flagged_without_change,qtg,signal_es1,condition
B_turbine_windmill_2db8e408,development,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,False,False,False,False,True,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,False,False,False,False,True,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,engine_cut,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.2049590081983603,0,0,0,True,False,False,False,True,False,no turbulence
B_elevator_drag_8819410c,development,model,737,climbing_turn,10,10,0,False,True,1.0443183060730066,accelerations/udot-ft_sec2,1.0282803917483605,True,1.0,9.0,0.0001999600079984,1,8,8,True,True,True,False,False,True,no turbulence
B_ground_effect_9c058118,development,model,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,climbing_turn,10,10,0,False,True,0.0056269594951389,accelerations/rdot-rad_sec2,0.005531702871578,False,0.0,1.0,0.0397920415916816,0,0,0,True,False,False,False,False,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B2_wheel_spin_down_8a9fba1c,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B2_sensor_fail_stuck_f543d634,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,False,False,False,False,False,False,no turbulence
B2_atmosphere_high_altitude_61f1e8c3,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,False,False,False,False,False,False,no turbulence
B2_load_factor_sign_c3fa7d22,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B2_propeller_inflow_angle_82cc3893,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,False,False,False,False,False,False,no turbulence
B2_atmosphere_gradient_fadeout_05b709c8,heldout,cpp,737,climbing_turn,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,1.0,0.0393921215756848,0,0,0,True,False,False,False,False,False,no turbulence
B_elevator_drag_8819410c,development,model,737,elev_doublet_distractor,10,10,0,False,True,1.505346456564234,accelerations/udot-ft_sec2,1.2977104705426006,True,1.0,1.0,0.0027994401119776,1,1,1,True,True,True,False,False,True,no turbulence
B_ground_effect_9c058118,development,model,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1155768846230753,0,0,0,True,False,False,False,False,False,no turbulence
B_pqrdot_5ad2694c,development,cpp,737,elev_doublet_distractor,10,10,0,False,True,0.000218994229591,accelerations/rdot-rad_sec2,0.000185858660403,False,0.0,0.0,0.1155768846230753,0,0,0,True,False,False,False,False,False,no turbulence
B_turbine_windmill_2db8e408,development,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1155768846230753,0,0,0,True,False,False,False,False,False,no turbulence
B2_turbine_throttle_init_c8af9244,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1155768846230753,0,0,0,True,False,False,False,False,False,no turbulence
B2_turbine_thruster_inputs_20066483,heldout,cpp,737,elev_doublet_distractor,10,10,0,False,False,0.0,position/h-sl-ft,0.0,False,0.0,0.0,0.1155768846230753,0,0,0,True,False,False,False,False,False,no turbulence
